I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4370,,1966,7,3,,,    ,,,,,,,,,,TURKEY,,TURKEY:  MUS,38.5,41.3,140,14,1,,,,,,,,,,,,,,,,,,,,,,
8337,,1966,7,12,0,4,12,64,4.6,,4.6,,,,,,TURKEY,,TURKEY:  BAGICI,38.9,41.3,140,12,1,,,20,1,,3,,,,,12,1,,,20,1,,3,,,,
4371,Tsu,1966,7,12,18,53,,33,5.5,,5.5,,,,,6,RUSSIA,,RUSSIA:  BLACK SEA,44.75,37,40,,,,,,,,,,,,,,,,,,,,,,,,
4372,,1966,8,15,2,15,    ,53,5.6,,,,,,5.6,,INDIA,,INDIA:  N,28.7,78.9,60,15,1,,,,,,1,,,,,,,,,,,,,,,,
4376,,1966,8,19,12,22,    ,24,6.8,,,,,,6.8,9,TURKEY,,TURKEY:  VARTO,39.2,41.6,140,2394,4,,,,,20,3,,,,,,,,,,,,,,,,
4377,,1966,9,1,14,13,48,17,5.9,,5.9,5.3,,,,8,GREECE,,GREECE:  SOUTHERN,37.5,22.1,130,1,1,,,25,1,14,3,180,3,,,,,,,25,1,14,3,180,3,,
4378,,1966,9,4,22,14,    ,8,5.2,,,,,,5.2,,COLOMBIA,,COLOMBIA,4.6,-73.9,160,6,1,,,,,,3,,,,,,,,,,,,,,,,
8085,,1966,9,19,5,3,53,,5.4,,5.4,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,24,97.7,30,,,,,,,,1,,,,,,,,,,,,1,,,,
4379,,1966,9,19,18,40,    ,12,5,,,,,,5,,VENEZUELA,,VENEZUELA,10.8,-69.5,160,,,,,,,,3,,,,,,,,,,,,,,,,
8086,,1966,9,28,14,0,19,,6.4,,6.4,,,,,9,CHINA,,CHINA:   YUNNAN PROVINCE,27.5,100.1,30,,,,,,,,3,,3,,,,,,,,,,3,,3,,
8087,,1966,10,2,2,24,57,,5.2,,5.2,,,,,7,CHINA,,CHINA:  JILIN PROVINCE,43.83,125.12,30,,,,,,,,3,,,,,,,,,,,,3,,,,
4381,Tsu,1966,10,17,21,41,56,38,8.1,8.1,7.5,,,,,9,PERU,,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,160,110,3,,,3000,4,35,4,,,,,110,3,,,3000,4,35,4,,,,
4382,,1966,10,29,2,39,29.4,20,5.7,,5.7,,,,,,GREECE,,GREECE:  CENTRAL,39.2,21.2,130,1,1,,,23,1,,3,,3,,,1,1,,,23,1,,3,,3,,
4383,Tsu,1966,12,28,8,18,7.4,47,7.8,,7.8,,,,,8,CHILE,,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,160,3,1,,,6,1,0.4,1,,3,,,3,1,,,6,1,0.4,1,,3,,
4386,Tsu,1966,12,31,18,23,11.1,83,7.8,7.8,7.5,7.3,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.893,166.445,170,,,,,,,,,,,,,,,,,,,,,,,,
7445,Tsu,1966,12,31,22,15,16.6,23,7.2,7.2,7.1,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.334,166.684,170,,,,,,,,,,,,,,,,,,,,,,,,
4387,,1967,1,4,5,58,    ,10,6,,,,,,6,,GREECE,,GREECE,38.4,22,130,,,,,,,,2,,,,,,,,,,,,,,,,
4388,,1967,1,5,0,14,    ,35,7.5,,,,,,7.5,10,MONGOLIA,,MONGOLIA,48.1,102.8,40,,,,,,,,1,,,,,,,,,,,,,,,,
